,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2021-12-01,0.9931123914712144,0.8651551286769993,0.9545960020861578,0.9399170334830024,0.9518910364699487,0.9728487643778593,0.9367684803854389,0.9678965945916338,0.9785770047604327,0.9635628597439317,0.940952971519427,0.9531761391838022,0.93144208028558,1.0070490999939143,0.7972760065667888,0.9765819399431428,0.9561358761741188,1.0251835726290288,0.9638464102552959,0.9062302821490779,0.8628128736641734,0.9599500365845964,0.9756233783803546,0.9105821393403187,0.9283597013314822,0.9927066085755942,0.9353629922313798,0.9446523004941478,0.9119062664258928,0.9543237036541024
Austria,2022-01-01,0.8991428782574352,0.9927688749492476,0.9049189083856785,0.8901657736300125,0.8992499387819818,0.9834917005219432,0.82381134680052,0.8253988088296561,0.8693541403957546,0.9353003675015255,0.960247366000682,1.0338511009799567,0.8671952166009111,1.1814140875555978,0.9018940251187106,0.9329200113888901,1.0529542726600798,0.9522113311606031,0.934177929672017,0.849417469799912,0.7793211594437444,0.8879106061249524,0.9562188744471829,0.9278391073328034,0.9742709493034379,0.7602087223337988,1.0133483767908358,0.7957498326006512,0.8942021266665307,0.8179681570190667
Austria,2022-02-01,0.880364792119101,1.0940304793087336,0.9275123172164329,0.871835435268056,0.9687835521911276,0.9215997240630417,0.9466882710520367,0.8921363398963869,0.8923472709847005,0.9560252794632389,0.9369744288673788,0.9154198237134581,0.9343928616274312,0.9059661480697555,0.9732626842582475,0.9756366940064611,0.7852001015948771,0.9701260288736115,0.9519582046608316,0.9842282866476427,0.8505679400958058,0.9626432407700967,0.9552387520331971,0.9173616752021005,0.9982787656675685,0.9617736806928804,0.967621373708649,0.9314428262479826,1.0199608277898855,0.9888993440831895
Austria,2022-03-01,0.9497331895186348,0.9712236171358611,0.9260653194544379,0.9612463132456307,0.9113831654351879,0.91084379023436,1.0106302830896556,0.8845518565856045,0.949085403788774,0.9701136475988569,0.9210429461636773,0.9675306266935862,0.9793688852245933,0.9534535262415692,1.0226667500168698,1.0048791122065093,0.9912057936259463,1.0060090933216996,0.896052279449623,0.9687413131126836,0.8976395588897474,0.9569741377091541,0.9056711254805437,0.9999253530771812,0.912104118285172,0.9366602702082729,1.0150542442292645,1.0332866384497659,0.9634732069561208,0.9035047550740543
Austria,2022-04-01,0.9643549722606308,0.9661416456492162,0.944057490420574,0.976349889319563,1.0016694803534805,0.9060469292605153,0.9667420533951463,0.9561733808259527,0.9970562751009011,1.0016113632560808,1.0238174483222349,0.9767577738884462,0.9838527276913245,1.0153901668465497,0.9953131937223347,0.9810159617937042,1.0135767449372728,0.9838417147535581,0.9792245557485153,0.9638648537759072,1.0234420751759616,0.9856210889621151,0.943128071708241,1.0140737529166122,0.8692536073648727,0.9630202297247703,1.0087040375793541,1.0351862304075132,1.018537619594667,0.980563077184985
Austria,2022-05-01,0.9532784264961982,0.9668645759587817,1.0357287296409705,0.9582827323478359,1.0186365278618856,0.9723199030284715,0.9445622886826384,0.9696845637430528,0.9672669441822679,0.9987222780185306,0.9189621286489695,0.9339272248587519,0.9283289646883902,0.9435376577847194,0.9914263300938745,0.9958961181420666,0.9699512985285808,0.951768941891671,1.0130637145041128,0.9167709262930455,0.9831301297992195,0.955777353990036,0.9749998650574325,0.9993625663632953,0.9774484180228369,1.0034549674833642,1.0264199597433976,0.9927586212287745,1.007750803857218,0.9436621272275797
Austria,2022-06-01,0.9889618661375397,1.0134641605568666,0.9820861042654022,0.9730016385311078,0.9473988713366677,0.9718966399264197,1.007412436708186,1.0023274709393935,0.9890331241990503,0.9630313204471691,0.9725420446989312,0.9492963535667645,0.9559232008172064,0.9291429661666524,0.9784550986261001,0.9961060063934398,1.010642819038812,0.9378607707423637,0.9904728531000415,0.9538202121779875,1.0283562148525274,0.9793503664782646,0.9667751273020063,0.9707222283220488,1.0044135369259937,0.9990284417955015,0.9924219774151364,0.963153626115357,0.9932331449188473,0.9851496065935322
Austria,2022-07-01,0.9549416645018378,1.0170892545420926,0.9707131096672497,0.9736191376359267,0.9779955377776446,0.9892990950327771,0.9142367389527386,1.0075697797910412,1.0061152967126459,1.011209789129307,0.9764431522109045,1.0084611066740299,0.9813533992749728,1.0093543316370046,0.9866760594229377,0.9857098836622545,0.9912415163319387,0.9637271584282243,0.9847314354386021,0.9894040390518998,0.9834028550593554,0.9717570996594278,0.9358374729437121,0.9794786618248216,0.9812043389420281,0.956797898451522,0.9468298276339219,0.9726252442002586,0.994598344329402,0.9832177918742614
