,,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years,1Base_Wx-Years
weather_year,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
region,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,2022-01-01,1.022914714205705,0.7646621704378511,0.7849526603147979,1.0469553212080789,1.0513266619605555,0.9553869004578976,0.922624524573711,1.0163072571637426,0.8744077135110603,1.0061172189984888,0.8997240404253903,0.8478358057920803,0.972844565032658,0.9220009016702811,0.9667085506292336,0.9731898524321521,0.9264414153293492,1.041962748942316,1.0844879246380776,0.8499811677225326,0.8118957022596375,0.926757004996248,1.080841551599099,0.944012066937139,1.0295340981315741,0.9205265660674824,0.8334811424225592,0.8114591682596359,1.0790061490322638,0.8368972965233319
Austria,2022-02-01,1.0733119124582609,0.8495122403566602,0.9666901755989903,0.8998423356994787,0.9777380353443046,1.0665129884212712,0.9232793650447382,0.9750908361383086,0.9746882904057371,0.974033508594594,1.0536664641543636,0.9844550412475037,1.0750662465671508,0.8851174799006458,1.0148736109974452,0.9385916771613267,0.8873357498426963,1.0197042968475976,1.00803095383905,1.0107400631736623,0.8875117129741906,1.0251708312323868,0.8026689700517927,0.9058160463698234,1.034295094211194,0.9982890755020994,1.0268654604066907,1.0543532043098367,0.9603855821634864,1.0133673277566249
Austria,2022-03-01,0.9809493583985043,0.9808983304500103,1.0012754304032443,0.957912082308072,1.014515259277323,0.9806110027954206,0.9898033120594042,0.9798186477432682,0.968161784249434,0.9849382938138876,1.00174142740174,0.9983514801430518,0.9617889554964257,0.9532524689933104,0.9793426410674558,0.9971815384404971,0.9657048434534122,0.9728277360323372,1.0259452788592827,0.9743533289207572,0.9715194231051393,0.9684809123622153,0.9822532106495533,0.9949718197466487,0.9488512541056289,0.9847686309860697,0.9636537729561416,0.982479360897061,0.996175775214751,1.0011699606881708
Austria,2022-04-01,0.9029510161753413,0.8930381978717149,0.8944766911634668,0.9134288145490532,0.9153023551090347,0.8555791480786186,0.8977109040445024,0.8280595459790391,0.9247347251481223,0.9151120057957272,0.9060183499417129,0.9246443254164639,0.9137135675475532,0.877481127580521,0.9251103976842234,0.9295275376393222,0.9201280266908177,0.8782486475834904,0.9254231167160809,0.8951458313372862,0.900466352104127,0.9008361828247385,0.9117304559192672,0.9064747211712512,0.8855637370749704,0.8793807194303367,0.8954402749325314,0.8929577456658429,0.8624438362821762,0.886473170389039
Austria,2022-05-01,0.9145805006648333,0.9267700948969616,0.8698536199345889,0.9280127124089782,0.9320717214328107,0.9331162654893037,0.9604123501787342,0.931434448572388,0.9251496249660783,0.9386963146177296,0.9099836267067661,0.9215151874341929,0.9302850640797553,0.9299494541429988,0.9237202798803623,0.9148197605875843,0.8915644411843572,0.9250938319985895,0.928534641418185,0.9083443093505152,0.9645495472228525,0.8697518782286192,0.9222253586433679,0.9586704412688396,0.9519390477149783,0.9207655405611002,0.9205172062773147,0.9441482879213754,0.9009395699384007,0.9279483338096448
Austria,2022-06-01,0.9925960287881977,0.9474864202267358,0.9808456520924544,0.9685398753457046,0.9395749023267131,0.9761367184187795,0.9518234274423563,0.9765247559538688,0.9760006637479974,0.9726759906333291,0.9499278434759629,0.9706697797636674,0.9543566718326671,0.964146731623303,0.9490772483775402,0.9583216833284223,0.9700220104323058,0.9742258231862793,0.963798176213156,0.9518828402141014,0.9628622043164003,0.9726620155716657,0.9624617196667867,0.9638022486087212,0.9632834622129111,0.9674819428742123,0.9793325895958311,0.9314549309098543,0.9764761120554889,0.9460019095583815
Austria,2022-07-01,0.9264173365667134,0.9590827117982573,0.9660696570748474,0.9452292371245354,0.9612847072011669,0.9559029777917176,0.9510419643400937,0.9882600263141752,0.9790463746616453,0.9698419898862048,0.988651353432161,0.9697035873031178,0.9775416144131736,0.9664200985598552,0.9591347186583494,0.968548892503744,0.9526979219127505,0.9443247662040892,0.9634531577276855,0.9407140650893151,0.9466387878975692,0.9807007840581157,0.9499645311933416,0.9555499950999999,0.9731515051345383,0.920901680136018,0.9538987281151051,0.9518975071836925,0.9515669613440532,0.9418829092303136
Austria,2022-08-01,0.9589167640924486,0.9709775782815083,0.9381390020466713,0.9583100497963919,0.9516692744963189,0.9723182615605286,0.9890127082809403,0.985587681575085,0.9660958023487549,0.9929486162268433,0.9716872022761698,0.9494668476408401,0.9922926508707917,0.9485898755127137,0.9570688615346323,0.9821493634447905,0.9955869959804643,0.9895978459185244,0.9690552466327849,0.9607282501036699,0.9876120698030016,0.9847359861644628,0.9688757609267846,0.9798917068623293,0.9799577550068814,0.9927228758713512,0.9526913565968046,0.9808158614827769,0.9737856025873938,0.9793467803526369
